ticket_id;data_contato;id_cliente;matricula_agente;motivo_contato;csat;comentario_csat
331148;2025-12-27 02:04:42;3023399168;86459;Reclamação sobre transportadora;4;Amei a facilidade de navegação no novo app.
571029;2025-12-23 05:11:26;8131455756;35688;Pedido incompleto;3;Fui roubada via pix, contestei em menos de meia hora e nao fui restituido.
717889;2025-12-08 13:53:31;2951493270;48948;Alteração de endereço de entrega;4;Gosto quando a empresa valoriza o tempo do cliente.
391704;2025-12-07 02:23:55;5243253355;52670;Nota fiscal não recebida;4;Adorei a nova funcionalidade de pix, muito rápida.
948749;2025-12-08 12:02:23;9122284596;79006;Cupom de desconto inválido;5;Suporte técnico nota mil.
106814;2025-12-18 08:55:42;7298679849;18229;Nota fiscal não recebida;1;Vocês descontaram uma cesta de serviço que eu não contratei.
895667;2025-12-01 18:15:25;3512463846;11035;Pedido incompleto;4;Finalmente uma empresa que ouve o cliente.
944962;2025-12-01 23:30:54;8707128172;70699;Dúvida sobre frete;5;Estorno caiu na hora, confiança total.
267414;2025-12-12 00:47:57;8552526194;81217;Alteração de dados cadastrais;4;Muito satisfeito com a solução apresentada.
832052;2025-12-23 14:52:34;1442597118;77174;Pix não aprovado;5;Muito satisfeito com a solução apresentada.
543143;2025-12-28 23:09:42;2557137740;63201;Confirmação de pagamento;4;Consegui resolver tudo pelo chat sem precisar ligar.
456778;2025-12-31 16:56:31;8150736635;28897;Agendamento de entrega;5;Gosto quando a empresa valoriza o tempo do cliente.
391369;2025-12-28 10:31:30;9432070587;78122;Cupom de desconto inválido;5;Tudo certo, consegui tirar minha dúvida em poucos minutos.
263032;2025-12-29 02:33:08;2811076569;41407;Esqueci minha senha;2;Prometeram resolver em 24h e já faz uma semana.
325772;2025-12-07 02:42:58;3740446442;70699;Alteração de dados cadastrais;3;Interface confusa, poluição visual, não acho nada.
900581;2025-12-31 19:44:06;7476052850;22168;Estorno não realizado;3;Respostas frias que parecem vir de uma máquina, sem qualquer acolhimento.
452944;2025-12-30 22:30:44;8886832331;64221;Rastreamento não atualiza;3;Prometeram resolver em 24h e já faz uma semana.
207175;2025-12-16 02:36:56;9517292154;48286;Rastreamento não atualiza;1;O aplicativo fecha sozinho quando tento ver o extrato.
197251;2025-12-30 18:00:06;1356883272;43717;Pix não aprovado;5;Fui atendido prontamente e com muita educação.
498382;2025-12-29 07:36:49;8756674382;60293;Pedido incompleto;1;Gostaria de pagar minhas próximas faturas manualmente!
201414;2025-12-17 23:08:09;3125906089;36706;Solicitação de devolução;4;Problema resolvido com eficácia. Parabéns à equipe.
476417;2025-12-01 18:55:48;7833655625;40485;Esqueci minha senha;5;Consegui resolver tudo pelo chat sem precisar ligar.
988662;2025-12-22 03:07:45;8153819885;48948;Erro ao finalizar compra;2;A fila de espera nunca anda, desisti.
460663;2025-12-31 21:39:55;8338076548;68897;Reclamação sobre transportadora;5;O aplicativo é muito intuitivo e fácil de usar.
733052;2025-12-03 23:15:08;2643199628;40199;Dúvida sobre frete;5;Tudo certo, consegui tirar minha dúvida em poucos minutos.
377370;2025-12-10 07:13:11;3584119955;98575;Solicitação de troca;4;Problema resolvido com eficácia. Parabéns à equipe.
946335;2025-12-11 09:09:02;5097705819;47360;Cupom de desconto inválido;3;Não consigo achar a opção de cancelar, escondem de propósito.
145561;2025-12-26 12:08:02;3472292817;96999;Produto entregue errado;2;Péssimo! Esse débito automático é horrível, demora muito pra debitar...
865179;2025-12-07 23:52:45;4281486766;60334;Pedido incompleto;5;Muito bom, recomendo a todos.
581741;2025-12-22 15:42:08;4196786163;45733;Suspeita de fraude;1;Movimento minha conta todos os meses e ainda me negam crédito.
662275;2025-12-30 14:24:49;8679987160;18372;Rastreamento não atualiza;5;Muito bom, recomendo a todos.
230889;2025-12-21 12:36:55;8955280311;89935;Status do pedido;5;Suporte técnico nota mil.
496922;2025-12-24 18:59:15;3245260270;72176;Problema com vale-presente;2;Banco cobra sempre valores de cesta que não contratamos.
182627;2025-12-10 07:51:29;9333082673;64029;Dúvida sobre garantia;5;Consegui resolver tudo pelo chat sem precisar ligar.
678856;2025-12-18 10:59:09;8634866023;42679;Problema com vale-presente;1;Aplicativo ruim para digitar, o teclado cobre a área de escrever.
407419;2025-12-27 16:23:33;1110125417;68660;Suspeita de fraude;5;Muito bom, recomendo a todos.
969693;2025-12-16 18:48:35;3434945809;35444;Solicitação de devolução;1;Demorou UMA HORA para que eu fosse atendida, NÃO resolveu minha solicitação.
759176;2025-12-15 03:00:05;9693634084;32120;Alteração de dados cadastrais;4;Suporte técnico nota mil.
748564;2025-12-04 03:30:36;9357790587;83467;Dúvida sobre frete;2;Meu limite sumiu sem aviso prévio.
479201;2025-12-25 06:05:05;5719328110;87221;Suspeita de fraude;5;Ótima experiência do usuário (UX).
705397;2025-12-27 14:43:55;9249213523;59657;Reclamação sobre transportadora;4;Tudo certo, consegui tirar minha dúvida em poucos minutos.
301629;2025-12-03 06:39:29;4444113865;68955;Dúvida sobre tamanho/medidas;1;Respostas frias que parecem vir de uma máquina, sem qualquer acolhimento.
838797;2025-12-31 18:28:25;8426244858;50776;Rastreamento não atualiza;4;Fui atendido prontamente e com muita educação.
172933;2025-12-15 17:15:41;6383802605;95354;Esqueci minha senha;3;Falta de vontade de resolver, me jogam de um setor para o outro.
148050;2025-12-13 02:46:37;6772649622;50757;Erro ao finalizar compra;5;O aplicativo é muito intuitivo e fácil de usar.
793384;2025-12-19 08:06:38;6363130326;18229;Boleto não gerado;5;Amei a facilidade de navegação no novo app.
338968;2025-12-30 22:03:51;5500262927;60934;Suspeita de fraude;3;Bloquearam a conta por receber depósito, e não consegui desbloquear.
910620;2025-12-07 12:51:25;4408662267;86996;Dúvida sobre garantia;2;Grosseria total do atendente ao telefone.
403445;2025-12-17 05:28:27;4502414628;61180;Dúvida sobre tamanho/medidas;1;Processo arcaico, exigem ir na agência para algo digital.
183667;2025-12-16 04:22:16;8923011407;82045;Cupom de desconto inválido;4;Nota 10 para o atendimento, superou minhas expectativas.
996865;2025-12-12 15:48:13;4679268120;45162;Erro ao finalizar compra;3;Primeiro tenho que explicar tudo pra um robô, pra ele falar que não consegue me ajudar.
344098;2025-12-07 17:04:39;6728469606;39695;Solicitação de troca;3;Aplicativo ruim para digitar, o teclado cobre a área de escrever.
205907;2025-12-01 06:27:27;6272376975;83243;Produto entregue errado;2;Os apps estão péssimo, toda hora trava, da erro muito ruim.
498591;2025-12-13 10:01:16;8854134160;27709;Solicitação de devolução;3;Cobrando duas vezes a mesma fatura.
391476;2025-12-31 10:45:08;4100711567;33863;Esqueci minha senha;5;Suporte técnico nota mil.
575435;2025-12-16 07:28:25;8041391590;43717;Reclamação sobre transportadora;2;Quer desumanizar mais ainda o atendente coloca um bot de vez.
766563;2025-12-21 11:00:40;2643668468;97513;Consulta de disponibilidade de estoque;4;Adorei a nova funcionalidade de pix, muito rápida.
974628;2025-12-30 06:37:47;8333210351;13930;Cancelamento de compra;5;Amei a facilidade de navegação no novo app.
482554;2025-12-31 06:02:20;6800756648;10319;Rastreamento não atualiza;5;Problema resolvido com eficácia. Parabéns à equipe.
270555;2025-12-15 20:59:20;8756270694;11341;Suspeita de fraude;3;Atendimento insensível, consultor não demonstrou interesse no meu problema grave.
488162;2025-12-19 15:28:28;9142314106;78265;Boleto não gerado;4;Problema resolvido com eficácia. Parabéns à equipe.
472528;2025-12-22 19:57:02;4241716107;35808;Estorno não realizado;5;Muito satisfeito com a solução apresentada.
319684;2025-12-12 07:52:12;5120197934;88278;Confirmação de pagamento;1;Banco cobra sempre valores de cesta que não contratamos.
802729;2025-12-17 11:57:52;2386242699;74981;Embalagem danificada;3;Respostas frias que parecem vir de uma máquina, sem qualquer acolhimento.
379946;2025-12-01 13:36:24;1478805564;29516;Consulta de disponibilidade de estoque;2;Banco cobra sempre valores de cesta que não contratamos.
835911;2025-12-28 18:41:10;7793980443;31202;Dúvida sobre garantia;3;Interface confusa, poluição visual, não acho nada.
816751;2025-12-28 08:04:24;7702233282;60293;Cupom de desconto inválido;3;Falta de vontade de resolver, me jogam de um setor para o outro.
779514;2025-12-18 09:53:04;3311784874;20260;Status do pedido;5;Atendimento excelente, resolveram meu problema muito rápido.
174870;2025-12-24 12:54:03;3987734263;84101;Problema com vale-presente;1;Atendimento demorado e muito burocrático.
738720;2025-12-26 19:41:59;1853064745;41407;Nota fiscal não recebida;4;Achei o design do app muito limpo e moderno.
765822;2025-12-21 06:42:06;9978810439;89935;Reclamação sobre transportadora;4;Clareza nas informações, sem letras miúdas.
279451;2025-12-02 13:52:10;2131165735;74981;Dúvida sobre tamanho/medidas;4;Tudo certo, consegui tirar minha dúvida em poucos minutos.
660086;2025-12-30 20:05:06;8369683288;90096;Cancelamento de compra;5;Muito satisfeito com a solução apresentada.
864544;2025-12-21 02:31:35;7583445057;66897;Erro ao finalizar compra;3;Não é claro o procedimento, confuso!
356702;2025-12-25 10:25:38;2704057243;95423;Esqueci minha senha;5;Tudo certo, consegui tirar minha dúvida em poucos minutos.
271339;2025-12-07 18:49:06;9251741685;15729;Cobrança duplicada no cartão;4;Atendimento excelente, resolveram meu problema muito rápido.
584714;2025-12-25 10:03:38;5648063448;34345;Dificuldade de navegação no site;4;Sempre que preciso sou bem atendido.
497887;2025-12-26 19:56:25;5292557368;41849;Alteração de dados cadastrais;5;Estorno caiu na hora, confiança total.
383060;2025-12-04 08:16:38;1175118024;34326;Nota fiscal não recebida;2;Péssimo, eu fui roubada, vocês não resolvem absolutamente nada.
771088;2025-12-22 08:03:20;3353587188;45778;Pedido incompleto;1;A informação que o chat me passou não é a mesma do extrato.
821590;2025-12-13 11:45:11;2175911790;67978;Esqueci minha senha;5;O sistema de segurança me passa muita credibilidade.
684004;2025-12-12 12:41:47;3123830957;84798;Dúvida sobre tamanho/medidas;4;Suporte técnico nota mil.
330283;2025-12-05 01:34:39;5223079421;74479;Pix não aprovado;5;Consegui resolver tudo pelo chat sem precisar ligar.
817870;2025-12-22 15:30:30;6264911145;23020;Cupom de desconto inválido;5;Achei o design do app muito limpo e moderno.
440035;2025-12-06 15:59:30;1927575908;47136;Dúvida sobre garantia;3;Não consigo achar a opção de cancelar, escondem de propósito.
983794;2025-12-24 17:38:51;5348303725;66810;Produto entregue com defeito;3;Fiquei mais de 40 minutos esperando para ser atendido por um humano.
905635;2025-12-16 07:08:05;7924434374;31817;Cancelamento de compra;3;Bloquearam a conta por receber depósito, e não consegui desbloquear.
913694;2025-12-25 13:21:30;8893852340;98849;Cupom de desconto inválido;3;Meu limite sumiu sem aviso prévio.
158655;2025-12-27 14:33:36;3439909513;74479;Problema com vale-presente;5;Tudo certo, consegui tirar minha dúvida em poucos minutos.
340174;2025-12-06 16:27:14;2770916225;74309;Pix não aprovado;5;Ótima experiência do usuário (UX).
961722;2025-12-23 13:11:00;7789894969;10319;Solicitação de troca;4;Gosto quando a empresa valoriza o tempo do cliente.
133659;2025-12-02 14:39:42;9500303270;49187;Confirmação de pagamento;1;Demora de responder e se não falar em 3 minutos, para tudo...
944151;2025-12-18 14:31:41;8502417867;88547;Cancelamento de compra;3;Processo arcaico, exigem ir na agência para algo digital.
430776;2025-12-14 23:15:14;9512265237;93398;Pedido incompleto;2;A informação que o chat me passou não é a mesma do extrato.
520651;2025-12-03 03:07:44;6426937451;22168;Cancelamento de compra;5;Suporte técnico nota mil.
380746;2025-12-03 11:27:00;6885086622;13930;Problema com vale-presente;1;Falta de vontade de resolver, me jogam de um setor para o outro.
169403;2025-12-23 20:03:10;5024050098;58421;Atraso na entrega;5;Sempre que preciso sou bem atendido.
321231;2025-12-11 09:17:01;2533621911;40199;Produto entregue com defeito;5;Achei o design do app muito limpo e moderno.
694731;2025-12-20 14:41:30;5872609483;11341;Alteração de endereço de entrega;5;O aplicativo é muito intuitivo e fácil de usar.
852787;2025-12-14 12:22:32;1553040088;59156;Cancelamento de compra;3;Grosseria total do atendente ao telefone.
429963;2025-12-27 19:22:01;2346406906;84249;Estorno não realizado;5;Adorei a nova funcionalidade de pix, muito rápida.
322955;2025-12-02 10:00:09;3594553624;37689;Atraso na entrega;4;Estorno caiu na hora, confiança total.
787277;2025-12-24 08:11:56;8387800067;73010;Dúvida sobre frete;5;Gostei da agilidade na entrega e no suporte.
623481;2025-12-28 04:59:30;5230873857;95354;Produto entregue errado;3;Interface confusa, poluição visual, não acho nada.
514850;2025-12-09 21:46:38;7293357327;28005;Produto entregue errado;4;Atendimento excelente, resolveram meu problema muito rápido.
774079;2025-12-13 17:09:51;5523465800;77174;Produto entregue com defeito;4;Rápido, prático e eficiente.
581141;2025-12-11 02:52:51;7952718586;41111;Suspeita de fraude;1;Movimento minha conta todos os meses e ainda me negam crédito.
249811;2025-12-17 21:32:13;2873397116;28005;Pix não aprovado;3;Tudo que tento fazer no App da erro tente mais tarde...
377746;2025-12-14 08:40:54;1735904793;16875;Status do pedido;5;Muito satisfeito com a solução apresentada.
246413;2025-12-12 06:25:48;7699971723;29516;Atraso na entrega;1;Quanta burocracia desnecessária! Só continuo aqui porque a empresa exige!
358607;2025-12-15 01:04:35;6787911240;52865;Estorno não realizado;3;Parece que estou falando com um robô o tempo todo, zero empatia.
881177;2025-12-24 09:38:20;1635140305;78265;Produto entregue errado;3;Não é claro o procedimento, confuso!
688637;2025-12-12 13:33:58;8224165114;99535;Nota fiscal não recebida;4;O aplicativo é muito intuitivo e fácil de usar.
665158;2025-12-23 07:40:34;8382485264;35688;Problema com vale-presente;1;Nunca vi um banco que o cliente tem conta a anos e não oferece crédito.
375504;2025-12-05 09:33:09;7742040508;89935;Confirmação de pagamento;4;O sistema de segurança me passa muita credibilidade.
883300;2025-12-30 01:57:47;4125707567;68440;Suspeita de fraude;1;Não dá para ver o que está sendo digitado no chat.
712982;2025-12-01 12:06:25;7402979400;83243;Produto entregue com defeito;1;Um absurdo bloquear o recebimento do meu pix entre contas da mesma titularidade.
549245;2025-12-17 10:25:45;5049072489;34240;Dúvida sobre garantia;5;A atendente Maria foi um anjo, resolveu o que ninguém conseguia.
711878;2025-12-26 00:19:56;9530692366;62349;Estorno não realizado;3;Tudo que tento fazer no App da erro tente mais tarde...
518801;2025-12-30 09:24:08;7236772367;60293;Dificuldade de navegação no site;5;Ótima experiência do usuário (UX).
479580;2025-12-02 06:25:56;8192642678;45162;Reclamação sobre transportadora;1;A fila de espera nunca anda, desisti.
329974;2025-12-19 05:39:17;2419629493;73697;Solicitação de troca;3;Lentidão absurda para carregar a página inicial.
245051;2025-12-24 20:31:23;9359156491;28232;Alteração de endereço de entrega;1;Não dá para ver o que está sendo digitado no chat.
634277;2025-12-03 07:37:15;3618188178;97253;Reclamação sobre transportadora;3;Se eu pedir ajuda a uma porta talvez consiga resolver mais rápido.
617488;2025-12-25 13:44:51;5197702821;32703;Nota fiscal não recebida;5;A atendente foi muito simpática e prestativa.
195325;2025-12-24 06:03:41;3636467652;81260;Alteração de endereço de entrega;5;Estorno caiu na hora, confiança total.
892495;2025-12-14 21:44:42;7570320619;92594;Alteração de endereço de entrega;1;Processo arcaico, exigem ir na agência para algo digital.
149405;2025-12-07 06:38:55;4136959706;94966;Dificuldade de navegação no site;4;Adorei a nova funcionalidade de pix, muito rápida.
214975;2025-12-01 21:02:46;4146305511;32120;Consulta de disponibilidade de estoque;4;Adorei a nova funcionalidade de pix, muito rápida.
260265;2025-12-30 00:07:55;1778411697;38472;Problema com vale-presente;2;Parece que estou falando com um robô o tempo todo, zero empatia.
757924;2025-12-31 20:28:22;5808216311;83424;Confirmação de pagamento;1;Péssimo, eu fui roubada, vocês não resolvem absolutamente nada.
267753;2025-12-29 18:06:53;1382706193;47136;Alteração de dados cadastrais;5;Rápido, prático e eficiente.
930555;2025-12-20 16:34:00;9358638318;68147;Dúvida sobre frete;5;O processo foi simples e sem burocracia, me surpreendeu.
813536;2025-12-12 09:25:46;7045485090;33863;Cobrança duplicada no cartão;5;Achei o design do app muito limpo e moderno.
542666;2025-12-18 09:32:45;8286047197;94620;Dúvida sobre garantia;5;Amei a facilidade de navegação no novo app.
725380;2025-12-26 20:50:00;2474442265;74309;Problema com vale-presente;5;Sem filas, sem espera, direto ao ponto. Perfeito.
166613;2025-12-02 11:32:28;5706697045;79769;Embalagem danificada;3;Nunca vi um banco que o cliente tem conta a anos e não oferece crédito.
503457;2025-12-19 20:11:20;2525387510;74479;Pix não aprovado;2;Péssimo, eu fui roubada, vocês não resolvem absolutamente nada.
500156;2025-12-05 15:51:30;8332638556;47136;Alteração de dados cadastrais;1;Impossível falar ou ser atendido por pessoas... saudades do atendimento humano.
724834;2025-12-06 18:37:26;9070520735;50233;Estorno não realizado;5;Adorei a nova funcionalidade de pix, muito rápida.
590785;2025-12-30 11:53:41;3146117090;64029;Produto entregue com defeito;5;Problema resolvido com eficácia. Parabéns à equipe.
654816;2025-12-01 06:05:59;6087673873;16977;Dificuldade de navegação no site;5;Rápido, prático e eficiente.
363626;2025-12-21 19:39:52;2724119090;22179;Atraso na entrega;5;Tudo certo, consegui tirar minha dúvida em poucos minutos.
680099;2025-12-23 14:48:29;6268379570;52865;Produto entregue errado;5;Suporte técnico nota mil.
112038;2025-12-22 06:45:56;3718745786;46020;Consulta de disponibilidade de estoque;5;O melhor atendimento que já tive em e-commerce.
813328;2025-12-03 15:29:36;6754054331;74309;Confirmação de pagamento;2;Primeiro tenho que explicar tudo pra um robô, pra ele falar que não consegue me ajudar.
855731;2025-12-27 04:36:30;4229022509;80487;Embalagem danificada;5;Rápido, prático e eficiente.
220116;2025-12-17 00:30:50;7544960111;62871;Esqueci minha senha;4;Problema resolvido com eficácia. Parabéns à equipe.
814825;2025-12-01 16:58:07;3603434915;60934;Erro ao finalizar compra;2;ATENDIMENTO PESSIMO! Estou a meses tentando alterar meu nome...
663054;2025-12-12 17:29:03;9843965585;78265;Dúvida sobre garantia;5;Consegui resolver tudo pelo chat sem precisar ligar.
887352;2025-12-25 02:24:23;2602654091;29122;Embalagem danificada;5;Problema resolvido com eficácia. Parabéns à equipe.
379786;2025-12-26 15:26:43;1723758304;67299;Rastreamento não atualiza;1;Quanta burocracia desnecessária! Só continuo aqui porque a empresa exige!
905934;2025-12-18 07:36:16;3272557267;38460;Embalagem danificada;1;Interface confusa, poluição visual, não acho nada.
772097;2025-12-22 19:53:33;5314986270;82334;Nota fiscal não recebida;5;Muito satisfeito com a solução apresentada.
456699;2025-12-06 02:09:52;6947471083;42061;Solicitação de troca;4;Estorno caiu na hora, confiança total.
216970;2025-12-01 10:55:53;7714600261;48286;Cupom de desconto inválido;5;A atendente foi muito simpática e prestativa.
407757;2025-12-27 12:10:27;4690917194;66897;Solicitação de troca;2;Os apps estão péssimo, toda hora trava, da erro muito ruim.
555884;2025-12-01 18:08:38;5104750512;46450;Reclamação sobre transportadora;1;Demora de responder e se não falar em 3 minutos, para tudo...
265840;2025-12-09 20:35:13;7961593935;47360;Produto entregue errado;2;Processo arcaico, exigem ir na agência para algo digital.
575763;2025-12-18 17:21:06;2482828724;74479;Dúvida sobre frete;1;Muito lento o atendimento, a culpa não é da atendente, mas do sistema.
103402;2025-12-05 19:48:00;4919649984;66810;Cupom de desconto inválido;1;Se eu recebo um pagamento, não tem lógica esperar análise de 72h.
857168;2025-12-09 22:05:46;7870737796;80487;Rastreamento não atualiza;5;Ótima experiência do usuário (UX).
854639;2025-12-10 09:52:48;3465246851;24159;Solicitação de troca;3;Processo arcaico, exigem ir na agência para algo digital.
376183;2025-12-03 14:34:41;9123659061;96676;Agendamento de entrega;3;Não consigo achar a opção de cancelar, escondem de propósito.
624902;2025-12-17 05:06:44;8812525969;13930;Suspeita de fraude;1;Respostas frias que parecem vir de uma máquina, sem qualquer acolhimento.
898975;2025-12-18 03:13:35;9720251066;37235;Status do pedido;2;Demora de responder e se não falar em 3 minutos, para tudo...
287330;2025-12-04 02:52:16;5040292978;32703;Solicitação de devolução;5;O melhor atendimento que já tive em e-commerce.
632342;2025-12-28 22:49:36;2251686384;77460;Confirmação de pagamento;4;Sempre que preciso sou bem atendido.
211579;2025-12-16 02:46:42;3226892666;34240;Produto entregue errado;5;O melhor atendimento que já tive em e-commerce.
755674;2025-12-03 01:23:09;4866461018;45162;Cupom de desconto inválido;3;Grosseria total do atendente ao telefone.
412942;2025-12-19 01:48:49;3137394980;90819;Suspeita de fraude;3;Um absurdo bloquear o recebimento do meu pix entre contas da mesma titularidade.
982554;2025-12-10 16:34:51;3592027247;82045;Pix não aprovado;4;Sem filas, sem espera, direto ao ponto. Perfeito.
769987;2025-12-26 17:26:49;9246333533;46020;Problema com vale-presente;3;Parece que estou falando com um robô o tempo todo, zero empatia.
632323;2025-12-15 20:35:43;9322866055;41407;Produto entregue com defeito;5;Tudo certo, consegui tirar minha dúvida em poucos minutos.
738551;2025-12-08 21:21:09;3381395514;45778;Produto entregue errado;2;Os apps estão péssimo, toda hora trava, da erro muito ruim.
308573;2025-12-13 22:50:43;2453176190;60878;Dificuldade de navegação no site;5;Consegui resolver tudo pelo chat sem precisar ligar.
260263;2025-12-26 13:01:43;2570641687;93398;Atraso na entrega;1;Gostaria de pagar minhas próximas faturas manualmente!
492077;2025-12-17 13:07:06;8806470288;75506;Dúvida sobre tamanho/medidas;5;A atendente Maria foi um anjo, resolveu o que ninguém conseguia.
899550;2025-12-21 03:38:13;2736389560;89935;Erro ao finalizar compra;5;Amei a facilidade de navegação no novo app.
269396;2025-12-30 14:37:11;2538978732;49629;Solicitação de devolução;4;A atendente foi muito simpática e prestativa.
665579;2025-12-29 12:53:24;9251167540;25956;Dúvida sobre frete;4;Gosto quando a empresa valoriza o tempo do cliente.
916449;2025-12-24 08:36:03;3232712137;97701;Cancelamento de compra;5;Clareza nas informações, sem letras miúdas.
656116;2025-12-02 05:28:01;6157964035;35444;Alteração de dados cadastrais;4;Rápido, prático e eficiente.
100599;2025-12-20 05:38:29;2375748554;23020;Esqueci minha senha;2;Parece que estou falando com um robô o tempo todo, zero empatia.
728038;2025-12-31 17:48:58;6145549138;63276;Problema com vale-presente;2;ATENDIMENTO PESSIMO! Estou a meses tentando alterar meu nome...
439902;2025-12-02 06:34:38;7125994325;86561;Suspeita de fraude;5;O melhor atendimento que já tive em e-commerce.
612340;2025-12-23 04:07:11;7163874305;47136;Esqueci minha senha;5;O sistema de segurança me passa muita credibilidade.
120422;2025-12-25 12:50:23;5648824894;82334;Nota fiscal não recebida;3;Lentidão absurda para carregar a página inicial.
217301;2025-12-17 23:29:36;5397334192;95667;Dúvida sobre garantia;3;Se eu recebo um pagamento, não tem lógica esperar análise de 72h.
480612;2025-12-17 06:01:44;5743011845;42061;Produto entregue errado;5;Muito bom, recomendo a todos.
972064;2025-12-24 05:49:47;7705530537;59156;Dúvida sobre frete;1;Cobrando duas vezes a mesma fatura.
945964;2025-12-20 04:51:06;7913450953;82813;Produto entregue com defeito;3;Péssimo! Esse débito automático é horrível, demora muito pra debitar...
422451;2025-12-25 20:53:35;6608787408;79006;Dificuldade de navegação no site;1;Demorou UMA HORA para que eu fosse atendida, NÃO resolveu minha solicitação.
351083;2025-12-04 14:39:15;8605273726;95667;Status do pedido;5;Gosto quando a empresa valoriza o tempo do cliente.
160738;2025-12-26 13:48:19;4001759769;97161;Pix não aprovado;1;Fiquei mais de 40 minutos esperando para ser atendido por um humano.
352572;2025-12-11 12:58:01;1178810419;74309;Consulta de disponibilidade de estoque;5;Tudo certo, consegui tirar minha dúvida em poucos minutos.
694916;2025-12-19 14:33:38;5066388518;98849;Suspeita de fraude;1;Não dá para ver o que está sendo digitado no chat.
182582;2025-12-02 15:34:43;3331252563;29516;Reclamação sobre transportadora;5;Muito bom, recomendo a todos.
189814;2025-12-24 12:49:10;8047751134;46588;Solicitação de troca;5;Finalmente uma empresa que ouve o cliente.
867460;2025-12-27 18:13:07;4175084884;18430;Agendamento de entrega;3;O chat indica falar com um especialista, mas mandam retornar outro dia.
609597;2025-12-05 15:38:16;3294767242;29122;Cancelamento de compra;4;Consegui resolver tudo pelo chat sem precisar ligar.
